x,y,z,yaw,velocity,change_flag
36986.5469,-85219,300.6746,-0.463,1,0
36987.5840503914,-85219.5314744447,300.6548,-0.483014771,2,0
36988.5600001423,-85220.0513620191,300.6305,-0.4944067275,2,0
36989.4924769603,-85220.5557424291,300.6277,-0.4954113479,3,0
36990.3992085529,-85221.0406953808,300.6216,-0.4848000983,3,0
36991.2979226277,-85221.5023005801,300.5898,-0.462151764,4,0
36992.2063468922,-85221.936637733,300.5923,-0.4280541761,5,0
36993.1422090542,-85222.3397865454,300.5915,-0.3841566107,5,0
36994.1232368211,-85222.7078267234,300.5867,-0.3330053859,5,0
36995.1671579005,-85223.036837973,300.5899,-0.2776614679,5,0
36996.2917,-85223.3229,300.5882,-0.2212,5,0
36997.4513351502,-85223.5178364429,300.5771,-0.1105922983,5,0
36998.5872646924,-85223.579700533,300.5858,0.0025495587,4.32,0
36999.6973103004,-85223.5139163656,300.5876,0.1160422397,4.32,0
37000.7792936481,-85223.3259080361,300.5969,0.2277144683,4.32,0
37001.8310364092,-85223.02109964,300.6128,0.3356740096,4.32,0
37002.8503602576,-85222.6049152728,300.6094,0.4384958862,4.32,0
37003.835086867,-85222.0827790297,300.6263,0.5352947571,4.32,0
37004.7830379114,-85221.4601150063,300.6375,0.6256923567,4.32,0
37005.6920350644,-85220.7423472979,300.6537,0.7097200835,4.32,0
37006.5599,-85219.9349,300.6846,0.7877,4.32,0
37007.4449652909,-85218.9989281478,300.6894,0.8399590211,4.32,0
37008.2310435731,-85218.0739372233,300.7084,0.8932537916,4.32,0
37008.9363675218,-85217.1493839718,300.7098,0.9446661126,4.32,0
37009.5791698116,-85216.2147251386,300.7234,0.9910581651,5,0
37010.1776831175,-85215.2594174691,300.756,1.029649951,6,0
37010.7501401144,-85214.2729177085,300.749,1.0585196939,6,0
37011.3147734772,-85213.2446826021,300.7649,1.0768511072,6,0
37011.8898158808,-85212.1641688953,300.8016,1.0848905051,6,0
37012.4935,-85211.0208333333,300.8074,1.0837,6,0
